Time,INPUT PID,OUTPUT PID,ERROR,ERROR INTEGRAL,ERROR DERIVATIVO
440,10.000001,50.000080,-0.000001,-25.000011,0.000000
441,10.000001,50.000080,-0.000001,-25.000011,0.000000
442,10.000001,50.000080,-0.000001,-25.000011,0.000000
443,10.000001,50.000080,-0.000001,-25.000011,0.000000
444,10.000001,50.000080,-0.000001,-25.000011,0.000000
445,10.000001,50.000080,-0.000001,-25.000011,0.000000
446,10.000001,50.000080,-0.000001,-25.000011,0.000000
447,10.000001,50.000080,-0.000001,-25.000011,0.000000
448,10.000001,50.000080,-0.000001,-25.000011,0.000000
449,10.000001,50.000080,-0.000001,-25.000011,0.000000
450,10.000001,50.000080,-0.000001,-25.000011,0.000000
451,10.000001,50.000080,-0.000001,-25.000011,0.000000
452,10.000001,50.000080,-0.000001,-25.000011,0.000000
453,10.000001,50.000080,-0.000001,-25.000011,0.000000
454,10.000001,50.000080,-0.000001,-25.000011,0.000000
455,10.000001,50.000080,-0.000001,-25.000011,0.000000
456,10.000001,50.000080,-0.000001,-25.000011,0.000000
457,10.000001,50.000080,-0.000001,-25.000011,0.000000
458,10.000001,50.000080,-0.000001,-25.000011,0.000000
459,10.000001,50.000080,-0.000001,-25.000011,0.000000
460,10.000001,50.000080,-0.000001,-25.000011,0.000000
461,10.000001,50.000080,-0.000001,-25.000011,0.000000
462,10.000001,50.000080,-0.000001,-25.000011,0.000000
463,10.000001,50.000080,-0.000001,-25.000011,0.000000
464,10.000001,50.000080,-0.000001,-25.000011,0.000000
465,10.000001,50.000080,-0.000001,-25.000011,0.000000
466,10.000001,50.000080,-0.000001,-25.000011,0.000000
467,10.000001,50.000080,-0.000001,-25.000011,0.000000
468,10.000001,50.000080,-0.000001,-25.000011,0.000000
469,10.000001,50.000080,-0.000001,-25.000011,0.000000
470,10.000001,50.000080,-0.000001,-25.000011,0.000000
471,10.000001,50.000080,-0.000001,-25.000011,0.000000
